store_id,size_sqft,income_level,foot_traffic,competitor_density,online_penetration,population_density,mall_location
S001,10860,138158,2106,6.9,0.52,14265,True
S002,14426,121962,2087,4.67,0.43,8130,True
S003,10769,102433,2191,7.96,0.52,11385,True
S004,14843,127480,2560,5.62,0.48,10047,True
S005,10975,100189,2957,6.93,0.44,9267,True
S006,13202,103556,2818,6.4,0.49,13393,False
S007,12363,143021,2241,4.93,0.4,9363,True
S008,11478,148555,2508,7.17,0.43,11152,True
S009,13943,123939,2001,5.13,0.44,11843,True
S010,14798,106873,2555,7.7,0.58,14413,False
S011,13342,129127,2461,3.98,0.41,14439,False
S012,10337,117262,2052,5.93,0.59,14331,True
S013,12062,149216,2856,7.93,0.55,10027,True
S014,10391,113986,2418,6.86,0.41,10278,True
S015,13099,122662,2200,6.12,0.47,12598,True
S016,7751,90818,1483,3.91,0.43,5690,False
S017,9289,93270,1566,2.77,0.26,3206,True
S018,9625,83419,1663,3.91,0.31,7191,False
S019,8532,66374,1548,3.62,0.29,4722,False
S020,7819,62693,1595,4.41,0.29,4981,False
S021,7529,70230,989,2.33,0.3,7029,True
S022,6972,69474,1509,3.53,0.33,6748,False
S023,7257,60663,1936,2.19,0.3,4291,True
S024,9457,83938,1936,2.44,0.45,3698,False
S025,6641,60854,1184,2.72,0.28,4707,True
S026,7733,81919,1046,4.02,0.4,7218,True
S027,6293,62327,1683,4.95,0.33,6582,True
S028,6608,87848,1947,3.52,0.39,4794,False
S029,9002,66546,946,3.05,0.27,3488,False
S030,7663,83078,1137,4.51,0.39,7061,False
S031,6262,91065,1423,3.67,0.36,5049,False
S032,8301,80932,1860,4.65,0.29,6170,False
S033,8255,61154,1203,4.66,0.41,6991,False
S034,7648,92711,903,3.82,0.25,5557,False
S035,8200,62961,1677,3.65,0.39,6791,False
S036,3160,40699,588,1.73,0.19,2027,False
S037,4158,36218,700,1.27,0.26,1454,False
S038,4045,41893,457,2.93,0.23,2985,False
S039,5074,51609,576,1.76,0.27,1459,False
S040,3815,47946,303,0.56,0.28,516,False
S041,5205,45716,345,2.79,0.22,2268,False
S042,5544,35301,480,1.93,0.35,1639,False
S043,3980,37975,770,1.17,0.25,2565,False
S044,4758,58093,357,2.83,0.16,1125,False
S045,5901,53070,749,1.14,0.21,1284,False
S046,3245,42343,338,1.23,0.31,2390,False
S047,5455,43716,615,1.78,0.25,1184,True
S048,5559,43173,699,0.63,0.33,1666,False
S049,3833,57303,514,2.18,0.22,1074,False
S050,5197,57841,357,0.58,0.16,1337,False
