date,store_id,quantity_sold
2025-03-31,S001,57
2025-03-31,S002,73
2025-03-31,S003,74
2025-03-31,S004,102
2025-03-31,S005,76
2025-03-31,S006,57
2025-03-31,S007,65
2025-03-31,S008,73
2025-03-31,S009,81
2025-03-31,S010,85
2025-03-31,S011,104
2025-03-31,S012,62
2025-03-31,S013,68
2025-03-31,S014,65
2025-03-31,S015,67
2025-03-31,S016,45
2025-03-31,S017,66
2025-03-31,S018,47
2025-03-31,S019,47
2025-03-31,S020,53
2025-03-31,S021,57
2025-03-31,S022,55
2025-03-31,S023,59
2025-03-31,S024,72
2025-03-31,S025,29
2025-03-31,S026,36
2025-03-31,S027,42
2025-03-31,S028,62
2025-03-31,S029,40
2025-03-31,S030,46
2025-03-31,S031,47
2025-03-31,S032,46
2025-03-31,S033,45
2025-03-31,S034,31
2025-03-31,S035,45
2025-03-31,S036,36
2025-03-31,S037,32
2025-03-31,S038,27
2025-03-31,S039,27
2025-03-31,S040,39
2025-03-31,S041,26
2025-03-31,S042,32
2025-03-31,S043,31
2025-03-31,S044,36
2025-03-31,S045,31
2025-03-31,S046,33
2025-03-31,S047,40
2025-03-31,S048,29
2025-03-31,S049,30
2025-03-31,S050,35
2025-04-01,S001,121
2025-04-01,S002,77
2025-04-01,S003,66
2025-04-01,S004,93
2025-04-01,S005,65
2025-04-01,S006,103
2025-04-01,S007,104
2025-04-01,S008,110
2025-04-01,S009,95
2025-04-01,S010,91
2025-04-01,S011,105
2025-04-01,S012,78
2025-04-01,S013,123
2025-04-01,S014,81
2025-04-01,S015,105
2025-04-01,S016,81
2025-04-01,S017,88
2025-04-01,S018,56
2025-04-01,S019,54
2025-04-01,S020,63
2025-04-01,S021,52
2025-04-01,S022,73
2025-04-01,S023,68
2025-04-01,S024,74
2025-04-01,S025,41
2025-04-01,S026,47
2025-04-01,S027,38
2025-04-01,S028,87
2025-04-01,S029,40
2025-04-01,S030,50
2025-04-01,S031,58
2025-04-01,S032,69
2025-04-01,S033,66
2025-04-01,S034,49
2025-04-01,S035,56
2025-04-01,S036,47
2025-04-01,S037,48
2025-04-01,S038,34
2025-04-01,S039,52
2025-04-01,S040,37
2025-04-01,S041,32
2025-04-01,S042,41
2025-04-01,S043,36
2025-04-01,S044,45
2025-04-01,S045,48
2025-04-01,S046,41
2025-04-01,S047,50
2025-04-01,S048,49
2025-04-01,S049,41
2025-04-01,S050,38
2025-04-02,S001,108
2025-04-02,S002,113
2025-04-02,S003,96
2025-04-02,S004,122
2025-04-02,S005,83
2025-04-02,S006,113
2025-04-02,S007,97
2025-04-02,S008,94
2025-04-02,S009,104
2025-04-02,S010,149
2025-04-02,S011,117
2025-04-02,S012,59
2025-04-02,S013,90
2025-04-02,S014,103
2025-04-02,S015,112
2025-04-02,S016,80
2025-04-02,S017,97
2025-04-02,S018,59
2025-04-02,S019,86
2025-04-02,S020,61
2025-04-02,S021,78
2025-04-02,S022,60
2025-04-02,S023,104
2025-04-02,S024,86
2025-04-02,S025,57
2025-04-02,S026,56
2025-04-02,S027,67
2025-04-02,S028,85
2025-04-02,S029,47
2025-04-02,S030,55
2025-04-02,S031,53
2025-04-02,S032,57
2025-04-02,S033,76
2025-04-02,S034,50
2025-04-02,S035,44
2025-04-02,S036,44
2025-04-02,S037,52
2025-04-02,S038,53
2025-04-02,S039,39
2025-04-02,S040,46
2025-04-02,S041,37
2025-04-02,S042,53
2025-04-02,S043,39
2025-04-02,S044,52
2025-04-02,S045,51
2025-04-02,S046,37
2025-04-02,S047,48
2025-04-02,S048,43
2025-04-02,S049,46
2025-04-02,S050,43
2025-04-03,S001,117
2025-04-03,S002,128
2025-04-03,S003,104
2025-04-03,S004,129
2025-04-03,S005,115
2025-04-03,S006,89
2025-04-03,S007,110
2025-04-03,S008,138
2025-04-03,S009,144
2025-04-03,S010,114
2025-04-03,S011,108
2025-04-03,S012,109
2025-04-03,S013,113
2025-04-03,S014,131
2025-04-03,S015,88
2025-04-03,S016,101
2025-04-03,S017,79
2025-04-03,S018,74
2025-04-03,S019,73
2025-04-03,S020,59
2025-04-03,S021,88
2025-04-03,S022,73
2025-04-03,S023,86
2025-04-03,S024,77
2025-04-03,S025,70
2025-04-03,S026,58
2025-04-03,S027,49
2025-04-03,S028,80
2025-04-03,S029,67
2025-04-03,S030,69
2025-04-03,S031,57
2025-04-03,S032,65
2025-04-03,S033,53
2025-04-03,S034,59
2025-04-03,S035,60
2025-04-03,S036,51
2025-04-03,S037,53
2025-04-03,S038,69
2025-04-03,S039,44
2025-04-03,S040,55
2025-04-03,S041,59
2025-04-03,S042,58
2025-04-03,S043,52
