date,store_id,quantity_sold
2025-03-03,S001,47
2025-03-03,S002,67
2025-03-03,S003,33
2025-03-03,S004,46
2025-03-03,S005,36
2025-03-03,S006,56
2025-03-03,S007,13
2025-03-03,S008,44
2025-03-03,S009,45
2025-03-03,S010,41
2025-03-03,S011,45
2025-03-03,S012,51
2025-03-03,S013,61
2025-03-03,S014,47
2025-03-03,S015,56
2025-03-03,S016,34
2025-03-03,S017,37
2025-03-03,S018,31
2025-03-03,S019,9
2025-03-03,S020,25
2025-03-03,S021,31
2025-03-03,S022,32
2025-03-03,S023,25
2025-03-03,S024,31
2025-03-03,S025,36
2025-03-03,S026,29
2025-03-03,S027,24
2025-03-03,S028,26
2025-03-03,S029,23
2025-03-03,S030,30
2025-03-03,S031,28
2025-03-03,S032,30
2025-03-03,S033,33
2025-03-03,S034,30
2025-03-03,S035,35
2025-03-03,S036,16
2025-03-03,S037,26
2025-03-03,S038,17
2025-03-03,S039,18
2025-03-03,S040,24
2025-03-03,S041,18
2025-03-03,S042,22
2025-03-03,S043,24
2025-03-03,S044,21
2025-03-03,S045,27
2025-03-03,S046,25
2025-03-03,S047,19
2025-03-03,S048,18
2025-03-03,S049,23
2025-03-03,S050,19
2025-03-04,S001,66
2025-03-04,S002,55
2025-03-04,S003,39
2025-03-04,S004,54
2025-03-04,S005,52
2025-03-04,S006,57
2025-03-04,S007,16
2025-03-04,S008,52
2025-03-04,S009,44
2025-03-04,S010,46
2025-03-04,S011,68
2025-03-04,S012,44
2025-03-04,S013,69
2025-03-04,S014,40
2025-03-04,S015,56
2025-03-04,S016,47
2025-03-04,S017,39
2025-03-04,S018,31
2025-03-04,S019,8
2025-03-04,S020,26
2025-03-04,S021,40
2025-03-04,S022,41
2025-03-04,S023,29
2025-03-04,S024,29
2025-03-04,S025,29
2025-03-04,S026,44
2025-03-04,S027,28
2025-03-04,S028,31
2025-03-04,S029,31
2025-03-04,S030,36
2025-03-04,S031,35
2025-03-04,S032,24
2025-03-04,S033,27
2025-03-04,S034,40
2025-03-04,S035,41
2025-03-04,S036,23
2025-03-04,S037,20
2025-03-04,S038,20
2025-03-04,S039,19
2025-03-04,S040,20
2025-03-04,S041,25
2025-03-04,S042,19
2025-03-04,S043,25
2025-03-04,S044,27
2025-03-04,S045,19
2025-03-04,S046,20
2025-03-04,S047,24
