date,store_id,quantity_sold
2025-03-31,S001,62
2025-03-31,S002,63
2025-03-31,S003,62
2025-03-31,S004,47
2025-03-31,S005,35
2025-03-31,S006,64
2025-03-31,S007,60
2025-03-31,S008,56
2025-03-31,S009,62
2025-03-31,S010,44
2025-03-31,S011,54
2025-03-31,S012,48
2025-03-31,S013,52
2025-03-31,S014,55
2025-03-31,S015,66
2025-03-31,S016,35
2025-03-31,S017,52
2025-03-31,S018,41
2025-03-31,S019,40
2025-03-31,S020,30
2025-03-31,S021,34
2025-03-31,S022,42
2025-03-31,S023,31
2025-03-31,S024,44
2025-03-31,S025,41
2025-03-31,S026,30
2025-03-31,S027,30
2025-03-31,S028,37
2025-03-31,S029,43
2025-03-31,S030,34
2025-03-31,S031,36
2025-03-31,S032,35
2025-03-31,S033,33
2025-03-31,S034,39
2025-03-31,S035,49
2025-03-31,S036,28
2025-03-31,S037,24
2025-03-31,S038,31
2025-03-31,S039,22
2025-03-31,S040,30
2025-03-31,S041,27
2025-03-31,S042,23
2025-03-31,S043,27
2025-03-31,S044,32
2025-03-31,S045,27
2025-03-31,S046,24
2025-03-31,S047,27
2025-03-31,S048,23
2025-03-31,S049,28
2025-03-31,S050,21
2025-04-01,S001,91
2025-04-01,S002,77
2025-04-01,S003,54
2025-04-01,S004,54
2025-04-01,S005,55
2025-04-01,S006,84
2025-04-01,S007,69
2025-04-01,S008,67
2025-04-01,S009,95
2025-04-01,S010,56
2025-04-01,S011,65
2025-04-01,S012,56
2025-04-01,S013,58
2025-04-01,S014,70
2025-04-01,S015,66
2025-04-01,S016,46
2025-04-01,S017,53
2025-04-01,S018,53
2025-04-01,S019,39
2025-04-01,S020,50
2025-04-01,S021,44
2025-04-01,S022,43
2025-04-01,S023,51
2025-04-01,S024,42
2025-04-01,S025,42
2025-04-01,S026,38
2025-04-01,S027,47
2025-04-01,S028,55
2025-04-01,S029,46
2025-04-01,S030,52
2025-04-01,S031,37
2025-04-01,S032,41
2025-04-01,S033,32
2025-04-01,S034,51
2025-04-01,S035,55
2025-04-01,S036,38
2025-04-01,S037,34
2025-04-01,S038,32
2025-04-01,S039,35
2025-04-01,S040,35
2025-04-01,S041,38
2025-04-01,S042,33
2025-04-01,S043,30
2025-04-01,S044,37
2025-04-01,S045,36
2025-04-01,S046,29
2025-04-01,S047,36
2025-04-01,S048,28
2025-04-01,S049,42
2025-04-01,S050,32
2025-04-02,S001,70
2025-04-02,S002,98
2025-04-02,S003,82
2025-04-02,S004,86
2025-04-02,S005,67
2025-04-02,S006,111
2025-04-02,S007,115
2025-04-02,S008,73
2025-04-02,S009,77
2025-04-02,S010,89
