date,store_id,quantity_sold
2025-03-22,S001,91
2025-03-22,S002,69
2025-03-22,S003,65
2025-03-22,S004,87
2025-03-22,S005,57
2025-03-22,S006,60
2025-03-22,S007,68
2025-03-22,S008,79
2025-03-22,S009,77
2025-03-22,S010,82
2025-03-22,S011,99
2025-03-22,S012,49
2025-03-22,S013,101
2025-03-22,S014,77
2025-03-22,S015,63
2025-03-22,S016,51
2025-03-22,S017,74
2025-03-22,S018,45
2025-03-22,S019,50
2025-03-22,S020,37
2025-03-22,S021,47
2025-03-22,S022,39
2025-03-22,S023,70
2025-03-22,S024,50
2025-03-22,S025,33
2025-03-22,S026,33
2025-03-22,S027,42
2025-03-22,S028,69
2025-03-22,S029,37
2025-03-22,S030,44
2025-03-22,S031,43
2025-03-22,S032,43
2025-03-22,S033,37
2025-03-22,S034,48
2025-03-22,S035,47
2025-03-22,S036,40
2025-03-22,S037,25
2025-03-22,S038,38
2025-03-22,S039,36
2025-03-22,S040,34
2025-03-22,S041,32
2025-03-22,S042,28
2025-03-22,S043,34
2025-03-22,S044,26
2025-03-22,S045,32
2025-03-22,S046,25
2025-03-22,S047,29
2025-03-22,S048,36
2025-03-22,S049,38
2025-03-22,S050,41
2025-03-23,S001,79
2025-03-23,S002,75
2025-03-23,S003,80
2025-03-23,S004,123
2025-03-23,S005,67
2025-03-23,S006,62
2025-03-23,S007,86
2025-03-23,S008,81
2025-03-23,S009,110
2025-03-23,S010,80
2025-03-23,S011,106
2025-03-23,S012,58
2025-03-23,S013,112
2025-03-23,S014,73
2025-03-23,S015,63
2025-03-23,S016,71
2025-03-23,S017,55
2025-03-23,S018,44
2025-03-23,S019,66
2025-03-23,S020,52
2025-03-23,S021,51
2025-03-23,S022,43
2025-03-23,S023,50
2025-03-23,S024,61
2025-03-23,S025,41
2025-03-23,S026,36
2025-03-23,S027,43
2025-03-23,S028,51
2025-03-23,S029,38
2025-03-23,S030,48
2025-03-23,S031,54
2025-03-23,S032,48
2025-03-23,S033,57
2025-03-23,S034,54
2025-03-23,S035,64
2025-03-23,S036,36
2025-03-23,S037,31
2025-03-23,S038,33
2025-03-23,S039,43
2025-03-23,S040,38
2025-03-23,S041,28
2025-03-23,S042,43
2025-03-23,S043,28
2025-03-23,S044,39
2025-03-23,S045,41
2025-03-23,S046,37
2025-03-23,S047,43
2025-03-23,S048,35
2025-03-23,S049,37
2025-03-23,S050,41
2025-03-24,S001,111
2025-03-24,S002,86
2025-03-24,S003,83
2025-03-24,S004,120
2025-03-24,S005,75
2025-03-24,S006,98
2025-03-24,S007,87
2025-03-24,S008,89
2025-03-24,S009,121
2025-03-24,S010,107
2025-03-24,S011,98
2025-03-24,S012,76
2025-03-24,S013,92
2025-03-24,S014,93
2025-03-24,S015,105
2025-03-24,S016,49
2025-03-24,S017,88
2025-03-24,S018,49
2025-03-24,S019,64
2025-03-24,S020,48
2025-03-24,S021,51
2025-03-24,S022,46
2025-03-24,S023,64
2025-03-24,S024,69
2025-03-24,S025,50
2025-03-24,S026,61
2025-03-24,S027,47
2025-03-24,S028,64
2025-03-24,S029,55
2025-03-24,S030,51
2025-03-24,S031,54
2025-03-24,S032,50
2025-03-24,S033,61
2025-03-24,S034,58
2025-03-24,S035,50
2025-03-24,S036,34
2025-03-24,S037,41
2025-03-24,S038,38
2025-03-24,S039,41
2025-03-24,S040,31
2025-03-24,S041,34
2025-03-24,S042,35
2025-03-24,S043,37
2025-03-24,S044,38
2025-03-24,S045,39
2025-03-24,S046,44
2025-03-24,S047,37
2025-03-24,S048,39
2025-03-24,S049,34
2025-03-24,S050,43
2025-03-25,S001,105
2025-03-25,S002,119
2025-03-25,S003,101
2025-03-25,S004,154
2025-03-25,S005,113
2025-03-25,S006,105
2025-03-25,S007,110
2025-03-25,S008,109
2025-03-25,S009,118
2025-03-25,S010,107
2025-03-25,S011,143
2025-03-25,S012,78
2025-03-25,S013,136
2025-03-25,S014,86
2025-03-25,S015,87
2025-03-25,S016,68
2025-03-25,S017,94
2025-03-25,S018,78
2025-03-25,S019,52
2025-03-25,S020,46
2025-03-25,S021,68
2025-03-25,S022,63
2025-03-25,S023,78
2025-03-25,S024,86
2025-03-25,S025,46
2025-03-25,S026,57
2025-03-25,S027,46
2025-03-25,S028,64
2025-03-25,S029,50
2025-03-25,S030,50
2025-03-25,S031,52
2025-03-25,S032,72
2025-03-25,S033,63
2025-03-25,S034,58
