date,store_id,quantity_sold
2025-02-17,S001,25
2025-02-17,S002,37
2025-02-17,S003,17
2025-02-17,S004,29
2025-02-17,S005,24
2025-02-17,S006,29
2025-02-17,S007,27
2025-02-17,S008,38
2025-02-17,S009,18
2025-02-17,S010,23
2025-02-17,S011,25
2025-02-17,S012,32
2025-02-17,S013,32
2025-02-17,S014,20
2025-02-17,S015,36
2025-02-17,S016,17
2025-02-17,S017,20
2025-02-17,S018,25
2025-02-17,S019,17
2025-02-17,S020,17
2025-02-17,S021,20
2025-02-17,S022,21
2025-02-17,S023,14
2025-02-17,S024,21
2025-02-17,S025,13
2025-02-17,S026,22
2025-02-17,S027,15
2025-02-17,S028,17
2025-02-17,S029,15
2025-02-17,S030,13
2025-02-17,S031,13
2025-02-17,S032,15
2025-02-17,S033,17
2025-02-17,S034,17
2025-02-17,S035,16
2025-02-17,S036,14
2025-02-17,S037,10
2025-02-17,S038,11
2025-02-17,S039,10
2025-02-17,S040,15
2025-02-17,S041,13
2025-02-17,S042,13
2025-02-17,S043,14
2025-02-17,S044,14
2025-02-17,S045,15
2025-02-17,S046,15
2025-02-17,S047,14
2025-02-17,S048,13
2025-02-17,S049,14
2025-02-17,S050,12
2025-02-18,S001,40
2025-02-18,S002,34
2025-02-18,S003,24
2025-02-18,S004,33
2025-02-18,S005,33
2025-02-18,S006,32
2025-02-18,S007,21
2025-02-18,S008,39
2025-02-18,S009,29
2025-02-18,S010,30
2025-02-18,S011,32
2025-02-18,S012,35
2025-02-18,S013,44
2025-02-18,S014,25
2025-02-18,S015,35
2025-02-18,S016,21
2025-02-18,S017,22
2025-02-18,S018,22
2025-02-18,S019,19
2025-02-18,S020,19
2025-02-18,S021,23
2025-02-18,S022,22
2025-02-18,S023,15
2025-02-18,S024,24
2025-02-18,S025,16
2025-02-18,S026,20
2025-02-18,S027,21
2025-02-18,S028,15
2025-02-18,S029,21
2025-02-18,S030,16
2025-02-18,S031,20
2025-02-18,S032,21
2025-02-18,S033,24
2025-02-18,S034,24
2025-02-18,S035,22
2025-02-18,S036,15
2025-02-18,S037,17
2025-02-18,S038,13
2025-02-18,S039,12
2025-02-18,S040,16
2025-02-18,S041,17
2025-02-18,S042,10
2025-02-18,S043,12
2025-02-18,S044,12
2025-02-18,S045,14
2025-02-18,S046,12
2025-02-18,S047,11
2025-02-18,S048,13
2025-02-18,S049,14
2025-02-18,S050,11
2025-02-19,S001,37
2025-02-19,S002,42
2025-02-19,S003,28
2025-02-19,S004,48
2025-02-19,S005,25
2025-02-19,S006,31
2025-02-19,S007,23
2025-02-19,S008,37
2025-02-19,S009,28
2025-02-19,S010,28
2025-02-19,S011,44
2025-02-19,S012,27
2025-02-19,S013,42
2025-02-19,S014,30
2025-02-19,S015,41
2025-02-19,S016,20
2025-02-19,S017,24
2025-02-19,S018,25
2025-02-19,S019,22
2025-02-19,S020,23
2025-02-19,S021,17
2025-02-19,S022,21
2025-02-19,S023,24
2025-02-19,S024,26
2025-02-19,S025,16
2025-02-19,S026,18
2025-02-19,S027,22
2025-02-19,S028,20
2025-02-19,S029,22
2025-02-19,S030,23
2025-02-19,S031,19
2025-02-19,S032,15
2025-02-19,S033,21
2025-02-19,S034,20
2025-02-19,S035,23
2025-02-19,S036,17
2025-02-19,S037,15
2025-02-19,S038,16
2025-02-19,S039,18
2025-02-19,S040,13
2025-02-19,S041,17
2025-02-19,S042,13
2025-02-19,S043,12
2025-02-19,S044,17
2025-02-19,S045,12
2025-02-19,S046,16
2025-02-19,S047,15
2025-02-19,S048,13
2025-02-19,S049,14
2025-02-19,S050,13
2025-02-20,S001,38
2025-02-20,S002,37
2025-02-20,S003,23
2025-02-20,S004,50
2025-02-20,S005,33
2025-02-20,S006,47
2025-02-20,S007,30
2025-02-20,S008,38
2025-02-20,S009,27
2025-02-20,S010,41
2025-02-20,S011,43
2025-02-20,S012,28
2025-02-20,S013,50
2025-02-20,S014,25
2025-02-20,S015,54
2025-02-20,S016,28
2025-02-20,S017,22
2025-02-20,S018,29
2025-02-20,S019,20
2025-02-20,S020,18
2025-02-20,S021,21
2025-02-20,S022,21
2025-02-20,S023,27
2025-02-20,S024,21
2025-02-20,S025,21
2025-02-20,S026,21
2025-02-20,S027,17
2025-02-20,S028,20
2025-02-20,S029,17
2025-02-20,S030,26
2025-02-20,S031,18
2025-02-20,S032,16
2025-02-20,S033,26
2025-02-20,S034,29
2025-02-20,S035,29
2025-02-20,S036,20
2025-02-20,S037,20
2025-02-20,S038,18
2025-02-20,S039,20
2025-02-20,S040,15
2025-02-20,S041,17
2025-02-20,S042,14
2025-02-20,S043,21
2025-02-20,S044,14
2025-02-20,S045,18
2025-02-20,S046,18
2025-02-20,S047,17
2025-02-20,S048,18
2025-02-20,S049,20
2025-02-20,S050,18
2025-02-21,S001,38
2025-02-21,S002,50
2025-02-21,S003,28
2025-02-21,S004,57
2025-02-21,S005,38
2025-02-21,S006,52
2025-02-21,S007,44
2025-02-21,S008,48
2025-02-21,S009,33
2025-02-21,S010,45
2025-02-21,S011,42
2025-02-21,S012,36
2025-02-21,S013,48
2025-02-21,S014,32
2025-02-21,S015,63
2025-02-21,S016,25
2025-02-21,S017,24
2025-02-21,S018,38
2025-02-21,S019,23
2025-02-21,S020,34
2025-02-21,S021,29
2025-02-21,S022,37
2025-02-21,S023,25
2025-02-21,S024,35
2025-02-21,S025,22
2025-02-21,S026,36
2025-02-21,S027,28
2025-02-21,S028,30
2025-02-21,S029,30
2025-02-21,S030,27
2025-02-21,S031,34
2025-02-21,S032,28
2025-02-21,S033,25
2025-02-21,S034,30
2025-02-21,S035,25
2025-02-21,S036,23
2025-02-21,S037,16
2025-02-21,S038,22
2025-02-21,S039,21
2025-02-21,S040,22
2025-02-21,S041,20
2025-02-21,S042,25
2025-02-21,S043,21
2025-02-21,S044,22
2025-02-21,S045,20
2025-02-21,S046,22
2025-02-21,S047,22
2025-02-21,S048,17
2025-02-21,S049,22
2025-02-21,S050,22
2025-02-22,S001,66
2025-02-22,S002,73
2025-02-22,S003,34
2025-02-22,S004,66
2025-02-22,S005,39
2025-02-22,S006,65
2025-02-22,S007,46
2025-02-22,S008,58
2025-02-22,S009,37
2025-02-22,S010,44
2025-02-22,S011,58
2025-02-22,S012,46
2025-02-22,S013,67
2025-02-22,S014,47
2025-02-22,S015,76
2025-02-22,S016,31
2025-02-22,S017,27
2025-02-22,S018,42
2025-02-22,S019,29
2025-02-22,S020,31
2025-02-22,S021,25
2025-02-22,S022,43
2025-02-22,S023,46
2025-02-22,S024,41
2025-02-22,S025,29
2025-02-22,S026,40
2025-02-22,S027,20
2025-02-22,S028,23
2025-02-22,S029,35
2025-02-22,S030,28
2025-02-22,S031,28
2025-02-22,S032,36
2025-02-22,S033,40
2025-02-22,S034,36
2025-02-22,S035,36
2025-02-22,S036,22
2025-02-22,S037,25
2025-02-22,S038,22
2025-02-22,S039,26
2025-02-22,S040,18
2025-02-22,S041,26
2025-02-22,S042,18
2025-02-22,S043,21
2025-02-22,S044,23
2025-02-22,S045,27
2025-02-22,S046,26
2025-02-22,S047,24
2025-02-22,S048,28
2025-02-22,S049,21
2025-02-22,S050,18
2025-02-23,S001,37
2025-02-23,S002,55
2025-02-23,S003,26
2025-02-23,S004,58
2025-02-23,S005,51
2025-02-23,S006,32
2025-02-23,S007,26
2025-02-23,S008,56
2025-02-23,S009,41
2025-02-23,S010,40
2025-02-23,S011,39
2025-02-23,S012,46
2025-02-23,S013,40
2025-02-23,S014,37
2025-02-23,S015,43
2025-02-23,S016,27
2025-02-23,S017,22
2025-02-23,S018,38
2025-02-23,S019,26
2025-02-23,S020,24
2025-02-23,S021,22
2025-02-23,S022,30
2025-02-23,S023,28
2025-02-23,S024,32
2025-02-23,S025,15
2025-02-23,S026,26
2025-02-23,S027,18
2025-02-23,S028,29
2025-02-23,S029,22
2025-02-23,S030,31
2025-02-23,S031,26
2025-02-23,S032,22
2025-02-23,S033,25
2025-02-23,S034,24
2025-02-23,S035,23
2025-02-23,S036,21
2025-02-23,S037,22
2025-02-23,S038,17
2025-02-23,S039,21
2025-02-23,S040,20
2025-02-23,S041,17
2025-02-23,S042,16
2025-02-23,S043,21
2025-02-23,S044,18
2025-02-23,S045,16
2025-02-23,S046,20
2025-02-23,S047,21
2025-02-23,S048,19
2025-02-23,S049,18
2025-02-23,S050,14
