date,store_id,quantity_sold
2025-04-07,S001,76
2025-04-07,S002,55
2025-04-07,S003,57
2025-04-07,S004,74
2025-04-07,S005,78
2025-04-07,S006,71
2025-04-07,S007,98
2025-04-07,S008,73
2025-04-07,S009,71
2025-04-07,S010,69
2025-04-07,S011,84
2025-04-07,S012,55
2025-04-07,S013,58
2025-04-07,S014,85
2025-04-07,S015,83
2025-04-07,S016,32
2025-04-07,S017,52
2025-04-07,S018,40
2025-04-07,S019,36
2025-04-07,S020,48
2025-04-07,S021,46
2025-04-07,S022,53
2025-04-07,S023,31
2025-04-07,S024,35
2025-04-07,S025,48
2025-04-07,S026,49
2025-04-07,S027,43
2025-04-07,S028,57
2025-04-07,S029,45
2025-04-07,S030,52
2025-04-07,S031,31
2025-04-07,S032,36
2025-04-07,S033,34
2025-04-07,S034,37
2025-04-07,S035,60
2025-04-07,S036,28
2025-04-07,S037,30
2025-04-07,S038,32
2025-04-07,S039,33
2025-04-07,S040,28
2025-04-07,S041,25
2025-04-07,S042,28
2025-04-07,S043,25
2025-04-07,S044,27
2025-04-07,S045,36
2025-04-07,S046,33
2025-04-07,S047,24
2025-04-07,S048,35
2025-04-07,S049,27
2025-04-07,S050,29
2025-04-08,S001,86
2025-04-08,S002,56
2025-04-08,S003,65
2025-04-08,S004,64
2025-04-08,S005,58
2025-04-08,S006,113
2025-04-08,S007,89
2025-04-08,S008,78
2025-04-08,S009,81
2025-04-08,S010,66
2025-04-08,S011,68
2025-04-08,S012,56
2025-04-08,S013,55
2025-04-08,S014,91
2025-04-08,S015,75
2025-04-08,S016,33
2025-04-08,S017,48
2025-04-08,S018,76
2025-04-08,S019,46
2025-04-08,S020,53
2025-04-08,S021,51
2025-04-08,S022,39
2025-04-08,S023,55
2025-04-08,S024,47
2025-04-08,S025,41
2025-04-08,S026,58
2025-04-08,S027,41
2025-04-08,S028,63
2025-04-08,S029,53
2025-04-08,S030,56
2025-04-08,S031,72
2025-04-08,S032,48
2025-04-08,S033,35
2025-04-08,S034,36
2025-04-08,S035,51
2025-04-08,S036,38
2025-04-08,S037,36
2025-04-08,S038,41
2025-04-08,S039,26
2025-04-08,S040,26
2025-04-08,S041,28
2025-04-08,S042,36
2025-04-08,S043,31
2025-04-08,S044,30
2025-04-08,S045,38
2025-04-08,S046,33
2025-04-08,S047,31
