date,store_id,quantity_sold
2025-04-14,S001,2
2025-04-14,S002,1
2025-04-14,S003,2
2025-04-14,S004,2
2025-04-14,S005,1
2025-04-14,S006,3
2025-04-14,S007,3
2025-04-14,S008,3
2025-04-14,S009,1
2025-04-14,S010,2
2025-04-14,S011,3
2025-04-14,S012,2
2025-04-14,S013,1
2025-04-14,S014,2
2025-04-14,S015,1
2025-04-14,S016,0
2025-04-14,S017,0
2025-04-14,S018,0
2025-04-14,S019,0
2025-04-14,S020,0
2025-04-14,S021,1
2025-04-14,S022,0
2025-04-14,S023,0
2025-04-14,S024,0
2025-04-14,S025,0
2025-04-14,S026,0
2025-04-14,S027,0
2025-04-14,S028,0
2025-04-14,S029,0
2025-04-14,S030,0
2025-04-14,S031,0
2025-04-14,S032,0
2025-04-14,S033,0
2025-04-14,S034,0
2025-04-14,S035,0
2025-04-14,S036,0
2025-04-14,S037,0
2025-04-14,S038,0
2025-04-14,S039,0
2025-04-14,S040,0
2025-04-14,S041,0
2025-04-14,S042,0
2025-04-14,S043,0
2025-04-14,S044,0
2025-04-14,S045,0
2025-04-14,S046,0
2025-04-14,S047,0
2025-04-14,S048,0
2025-04-14,S049,0
2025-04-14,S050,0
2025-04-15,S001,3
2025-04-15,S002,1
2025-04-15,S003,2
2025-04-15,S004,3
2025-04-15,S005,3
2025-04-15,S006,5
2025-04-15,S007,4
2025-04-15,S008,4
2025-04-15,S009,2
2025-04-15,S010,2
2025-04-15,S011,3
2025-04-15,S012,2
2025-04-15,S013,3
2025-04-15,S014,2
2025-04-15,S015,4
2025-04-15,S016,0
2025-04-15,S017,0
2025-04-15,S018,0
2025-04-15,S019,1
2025-04-15,S020,1
2025-04-15,S021,0
2025-04-15,S022,0
2025-04-15,S023,1
2025-04-15,S024,1
2025-04-15,S025,1
2025-04-15,S026,0
2025-04-15,S027,0
2025-04-15,S028,0
2025-04-15,S029,0
2025-04-15,S030,0
2025-04-15,S031,0
2025-04-15,S032,0
2025-04-15,S033,1
2025-04-15,S034,1
2025-04-15,S035,0
2025-04-15,S036,0
2025-04-15,S037,0
2025-04-15,S038,0
2025-04-15,S039,0
2025-04-15,S040,0
2025-04-15,S041,0
2025-04-15,S042,0
2025-04-15,S043,0
2025-04-15,S044,0
2025-04-15,S045,0
2025-04-15,S046,0
2025-04-15,S047,0
2025-04-15,S048,0
2025-04-15,S049,0
2025-04-15,S050,0
2025-04-16,S001,5
2025-04-16,S002,3
2025-04-16,S003,4
2025-04-16,S004,6
2025-04-16,S005,3
2025-04-16,S006,7
2025-04-16,S007,7
2025-04-16,S008,5
2025-04-16,S009,4
2025-04-16,S010,4
2025-04-16,S011,6
2025-04-16,S012,5
2025-04-16,S013,2
2025-04-16,S014,4
2025-04-16,S015,7
2025-04-16,S016,0
2025-04-16,S017,1
2025-04-16,S018,1
2025-04-16,S019,1
2025-04-16,S020,1
2025-04-16,S021,1
2025-04-16,S022,2
2025-04-16,S023,1
2025-04-16,S024,2
2025-04-16,S025,0
2025-04-16,S026,0
2025-04-16,S027,0
2025-04-16,S028,0
2025-04-16,S029,1
2025-04-16,S030,0
2025-04-16,S031,0
2025-04-16,S032,0
2025-04-16,S033,1
2025-04-16,S034,1
2025-04-16,S035,1
2025-04-16,S036,0
2025-04-16,S037,0
2025-04-16,S038,0
2025-04-16,S039,0
2025-04-16,S040,0
2025-04-16,S041,0
2025-04-16,S042,0
2025-04-16,S043,0
2025-04-16,S044,0
2025-04-16,S045,0
2025-04-16,S046,0
2025-04-16,S047,0
2025-04-16,S048,0
2025-04-16,S049,0
2025-04-16,S050,0
2025-04-17,S001,3
2025-04-17,S002,5
2025-04-17,S003,8
2025-04-17,S004,8
2025-04-17,S005,6
2025-04-17,S006,6
2025-04-17,S007,7
2025-04-17,S008,7
2025-04-17,S009,4
2025-04-17,S010,7
2025-04-17,S011,7
2025-04-17,S012,5
2025-04-17,S013,5
2025-04-17,S014,5
2025-04-17,S015,7
2025-04-17,S016,0
2025-04-17,S017,1
2025-04-17,S018,2
2025-04-17,S019,1
2025-04-17,S020,1
2025-04-17,S021,4
2025-04-17,S022,1
2025-04-17,S023,3
2025-04-17,S024,3
2025-04-17,S025,1
2025-04-17,S026,1
2025-04-17,S027,1
2025-04-17,S028,1
2025-04-17,S029,1
2025-04-17,S030,0
2025-04-17,S031,1
2025-04-17,S032,1
2025-04-17,S033,2
2025-04-17,S034,2
2025-04-17,S035,0
2025-04-17,S036,0
2025-04-17,S037,1
2025-04-17,S038,0
2025-04-17,S039,0
2025-04-17,S040,0
2025-04-17,S041,0
2025-04-17,S042,0
2025-04-17,S043,0
2025-04-17,S044,0
2025-04-17,S045,0
2025-04-17,S046,0
2025-04-17,S047,0
2025-04-17,S048,0
2025-04-17,S049,0
2025-04-17,S050,0
2025-04-18,S001,9
2025-04-18,S002,10
2025-04-18,S003,10
2025-04-18,S004,9
2025-04-18,S005,12
2025-04-18,S006,13
2025-04-18,S007,13
2025-04-18,S008,7
2025-04-18,S009,8
2025-04-18,S010,9
2025-04-18,S011,9
2025-04-18,S012,13
2025-04-18,S013,7
2025-04-18,S014,9
2025-04-18,S015,10
2025-04-18,S016,2
2025-04-18,S017,2
2025-04-18,S018,3
2025-04-18,S019,5
2025-04-18,S020,4
2025-04-18,S021,5
2025-04-18,S022,3
2025-04-18,S023,4
2025-04-18,S024,5
2025-04-18,S025,2
2025-04-18,S026,4
2025-04-18,S027,2
2025-04-18,S028,4
2025-04-18,S029,3
2025-04-18,S030,4
2025-04-18,S031,2
2025-04-18,S032,2
2025-04-18,S033,5
2025-04-18,S034,2
2025-04-18,S035,4
2025-04-18,S036,0
2025-04-18,S037,2
2025-04-18,S038,1
2025-04-18,S039,0
2025-04-18,S040,0
2025-04-18,S041,0
2025-04-18,S042,0
2025-04-18,S043,0
2025-04-18,S044,0
2025-04-18,S045,0
2025-04-18,S046,0
2025-04-18,S047,2
2025-04-18,S048,0
2025-04-18,S049,0
2025-04-18,S050,0
2025-04-19,S001,13
2025-04-19,S002,9
2025-04-19,S003,11
2025-04-19,S004,12
2025-04-19,S005,15
2025-04-19,S006,15
2025-04-19,S007,14
2025-04-19,S008,13
2025-04-19,S009,11
2025-04-19,S010,13
2025-04-19,S011,15
2025-04-19,S012,11
2025-04-19,S013,10
2025-04-19,S014,12
2025-04-19,S015,17
2025-04-19,S016,5
2025-04-19,S017,6
2025-04-19,S018,6
2025-04-19,S019,6
2025-04-19,S020,4
2025-04-19,S021,7
2025-04-19,S022,9
2025-04-19,S023,5
2025-04-19,S024,5
2025-04-19,S025,5
2025-04-19,S026,5
2025-04-19,S027,6
2025-04-19,S028,3
2025-04-19,S029,8
2025-04-19,S030,5
2025-04-19,S031,7
2025-04-19,S032,6
2025-04-19,S033,7
2025-04-19,S034,5
2025-04-19,S035,5
2025-04-19,S036,0
2025-04-19,S037,3
2025-04-19,S038,2
2025-04-19,S039,0
2025-04-19,S040,2
2025-04-19,S041,0
2025-04-19,S042,0
2025-04-19,S043,1
2025-04-19,S044,1
2025-04-19,S045,0
2025-04-19,S046,0
2025-04-19,S047,2
2025-04-19,S048,2
2025-04-19,S049,2
2025-04-19,S050,0
2025-04-20,S001,10
2025-04-20,S002,7
2025-04-20,S003,8
2025-04-20,S004,8
2025-04-20,S005,7
2025-04-20,S006,9
2025-04-20,S007,7
2025-04-20,S008,9
2025-04-20,S009,8
2025-04-20,S010,8
2025-04-20,S011,8
2025-04-20,S012,9
2025-04-20,S013,5
2025-04-20,S014,7
2025-04-20,S015,11
2025-04-20,S016,2
2025-04-20,S017,1
2025-04-20,S018,3
2025-04-20,S019,4
2025-04-20,S020,5
2025-04-20,S021,5
2025-04-20,S022,3
2025-04-20,S023,4
2025-04-20,S024,5
2025-04-20,S025,2
2025-04-20,S026,4
2025-04-20,S027,2
2025-04-20,S028,3
2025-04-20,S029,3
2025-04-20,S030,1
2025-04-20,S031,4
2025-04-20,S032,3
2025-04-20,S033,4
2025-04-20,S034,3
2025-04-20,S035,1
2025-04-20,S036,0
2025-04-20,S037,1
2025-04-20,S038,1
2025-04-20,S039,0
2025-04-20,S040,0
2025-04-20,S041,0
2025-04-20,S042,0
2025-04-20,S043,0
2025-04-20,S044,0
2025-04-20,S045,0
2025-04-20,S046,0
2025-04-20,S047,0
2025-04-20,S048,0
2025-04-20,S049,0
2025-04-20,S050,0
