date,store_id,quantity_sold
2025-04-28,S001,36
2025-04-28,S002,32
2025-04-28,S003,33
2025-04-28,S004,37
2025-04-28,S005,38
2025-04-28,S006,40
2025-04-28,S007,31
2025-04-28,S008,34
2025-04-28,S009,37
2025-04-28,S010,28
2025-04-28,S011,37
2025-04-28,S012,37
2025-04-28,S013,30
2025-04-28,S014,35
2025-04-28,S015,39
2025-04-28,S016,20
2025-04-28,S017,26
2025-04-28,S018,26
2025-04-28,S019,22
2025-04-28,S020,26
2025-04-28,S021,20
2025-04-28,S022,22
2025-04-28,S023,23
2025-04-28,S024,20
2025-04-28,S025,22
2025-04-28,S026,26
2025-04-28,S027,22
2025-04-28,S028,25
2025-04-28,S029,23
2025-04-28,S030,27
2025-04-28,S031,23
2025-04-28,S032,21
2025-04-28,S033,26
2025-04-28,S034,26
2025-04-28,S035,22
2025-04-28,S036,17
2025-04-28,S037,13
2025-04-28,S038,17
2025-04-28,S039,18
2025-04-28,S040,13
2025-04-28,S041,12
2025-04-28,S042,11
2025-04-28,S043,14
2025-04-28,S044,12
2025-04-28,S045,15
2025-04-28,S046,18
2025-04-28,S047,18
2025-04-28,S048,14
2025-04-28,S049,12
2025-04-28,S050,13
2025-04-29,S001,39
2025-04-29,S002,42
2025-04-29,S003,38
2025-04-29,S004,47
2025-04-29,S005,45
2025-04-29,S006,46
2025-04-29,S007,39
2025-04-29,S008,34
2025-04-29,S009,37
2025-04-29,S010,37
2025-04-29,S011,45
2025-04-29,S012,40
2025-04-29,S013,39
2025-04-29,S014,41
2025-04-29,S015,49
2025-04-29,S016,23
2025-04-29,S017,28
2025-04-29,S018,26
2025-04-29,S019,28
2025-04-29,S020,29
2025-04-29,S021,25
2025-04-29,S022,26
2025-04-29,S023,23
2025-04-29,S024,26
2025-04-29,S025,28
2025-04-29,S026,32
2025-04-29,S027,28
2025-04-29,S028,30
2025-04-29,S029,33
2025-04-29,S030,30
2025-04-29,S031,30
2025-04-29,S032,24
2025-04-29,S033,27
2025-04-29,S034,29
2025-04-29,S035,33
2025-04-29,S036,21
2025-04-29,S037,15
2025-04-29,S038,20
2025-04-29,S039,21
2025-04-29,S040,14
2025-04-29,S041,14
2025-04-29,S042,16
2025-04-29,S043,16
2025-04-29,S044,16
2025-04-29,S045,21
2025-04-29,S046,20
2025-04-29,S047,17
2025-04-29,S048,19
2025-04-29,S049,13
2025-04-29,S050,18
2025-04-30,S001,40
2025-04-30,S002,52
2025-04-30,S003,53
2025-04-30,S004,56
2025-04-30,S005,52
2025-04-30,S006,48
2025-04-30,S007,41
2025-04-30,S008,40
2025-04-30,S009,41
2025-04-30,S010,45
2025-04-30,S011,49
2025-04-30,S012,42
2025-04-30,S013,45
2025-04-30,S014,40
2025-04-30,S015,48
2025-04-30,S016,25
2025-04-30,S017,29
2025-04-30,S018,31
2025-04-30,S019,32
2025-04-30,S020,27
2025-04-30,S021,28
2025-04-30,S022,28
2025-04-30,S023,28
2025-04-30,S024,30
2025-04-30,S025,31
2025-04-30,S026,30
2025-04-30,S027,31
2025-04-30,S028,29
2025-04-30,S029,36
2025-04-30,S030,31
2025-04-30,S031,28
2025-04-30,S032,29
2025-04-30,S033,33
2025-04-30,S034,32
2025-04-30,S035,36
2025-04-30,S036,22
2025-04-30,S037,20
2025-04-30,S038,21
2025-04-30,S039,23
2025-04-30,S040,15
2025-04-30,S041,17
2025-04-30,S042,17
2025-04-30,S043,16
2025-04-30,S044,18
2025-04-30,S045,22
2025-04-30,S046,22
2025-04-30,S047,19
2025-04-30,S048,20
2025-04-30,S049,18
2025-04-30,S050,20
2025-05-01,S001,44
2025-05-01,S002,57
2025-05-01,S003,53
2025-05-01,S004,49
2025-05-01,S005,45
2025-05-01,S006,57
2025-05-01,S007,45
2025-05-01,S008,53
2025-05-01,S009,49
2025-05-01,S010,43
2025-05-01,S011,49
2025-05-01,S012,47
2025-05-01,S013,51
2025-05-01,S014,52
2025-05-01,S015,55
2025-05-01,S016,30
2025-05-01,S017,33
2025-05-01,S018,32
2025-05-01,S019,36
2025-05-01,S020,34
2025-05-01,S021,30
2025-05-01,S022,31
2025-05-01,S023,34
2025-05-01,S024,35
2025-05-01,S025,33
2025-05-01,S026,40
2025-05-01,S027,30
2025-05-01,S028,39
2025-05-01,S029,34
2025-05-01,S030,37
2025-05-01,S031,33
2025-05-01,S032,33
2025-05-01,S033,39
2025-05-01,S034,29
2025-05-01,S035,38
2025-05-01,S036,26
2025-05-01,S037,22
2025-05-01,S038,22
2025-05-01,S039,23
2025-05-01,S040,15
2025-05-01,S041,21
2025-05-01,S042,21
2025-05-01,S043,21
2025-05-01,S044,17
2025-05-01,S045,28
2025-05-01,S046,24
2025-05-01,S047,19
2025-05-01,S048,23
2025-05-01,S049,16
2025-05-01,S050,17
2025-05-02,S001,64
2025-05-02,S002,76
2025-05-02,S003,68
2025-05-02,S004,65
2025-05-02,S005,67
2025-05-02,S006,68
2025-05-02,S007,67
2025-05-02,S008,67
2025-05-02,S009,73
2025-05-02,S010,70
2025-05-02,S011,69
2025-05-02,S012,58
2025-05-02,S013,55
2025-05-02,S014,60
2025-05-02,S015,75
2025-05-02,S016,40
2025-05-02,S017,51
2025-05-02,S018,43
2025-05-02,S019,48
2025-05-02,S020,51
2025-05-02,S021,46
2025-05-02,S022,50
2025-05-02,S023,41
2025-05-02,S024,35
2025-05-02,S025,42
2025-05-02,S026,52
2025-05-02,S027,43
2025-05-02,S028,50
2025-05-02,S029,50
2025-05-02,S030,46
2025-05-02,S031,41
2025-05-02,S032,44
2025-05-02,S033,50
2025-05-02,S034,39
2025-05-02,S035,40
2025-05-02,S036,29
2025-05-02,S037,27
2025-05-02,S038,32
2025-05-02,S039,35
2025-05-02,S040,26
2025-05-02,S041,23
2025-05-02,S042,21
2025-05-02,S043,24
2025-05-02,S044,23
2025-05-02,S045,29
2025-05-02,S046,34
2025-05-02,S047,30
2025-05-02,S048,31
2025-05-02,S049,25
2025-05-02,S050,23
2025-05-03,S001,77
2025-05-03,S002,83
2025-05-03,S003,75
2025-05-03,S004,84
2025-05-03,S005,74
2025-05-03,S006,87
2025-05-03,S007,76
2025-05-03,S008,82
2025-05-03,S009,72
2025-05-03,S010,79
2025-05-03,S011,86
2025-05-03,S012,80
2025-05-03,S013,62
2025-05-03,S014,72
2025-05-03,S015,93
2025-05-03,S016,40
2025-05-03,S017,50
2025-05-03,S018,47
2025-05-03,S019,58
2025-05-03,S020,60
2025-05-03,S021,51
2025-05-03,S022,57
2025-05-03,S023,53
2025-05-03,S024,48
2025-05-03,S025,54
2025-05-03,S026,53
2025-05-03,S027,50
2025-05-03,S028,55
2025-05-03,S029,62
2025-05-03,S030,43
2025-05-03,S031,61
2025-05-03,S032,43
2025-05-03,S033,59
2025-05-03,S034,49
2025-05-03,S035,46
2025-05-03,S036,30
2025-05-03,S037,28
2025-05-03,S038,33
2025-05-03,S039,32
2025-05-03,S040,25
2025-05-03,S041,25
2025-05-03,S042,29
2025-05-03,S043,31
2025-05-03,S044,28
2025-05-03,S045,34
2025-05-03,S046,37
2025-05-03,S047,29
2025-05-03,S048,38
2025-05-03,S049,24
2025-05-03,S050,32
2025-05-04,S001,60
2025-05-04,S002,65
2025-05-04,S003,57
2025-05-04,S004,75
2025-05-04,S005,68
2025-05-04,S006,65
2025-05-04,S007,55
2025-05-04,S008,52
2025-05-04,S009,63
2025-05-04,S010,50
2025-05-04,S011,70
2025-05-04,S012,54
2025-05-04,S013,48
2025-05-04,S014,57
2025-05-04,S015,61
2025-05-04,S016,36
2025-05-04,S017,47
2025-05-04,S018,46
2025-05-04,S019,47
2025-05-04,S020,43
2025-05-04,S021,39
2025-05-04,S022,37
2025-05-04,S023,33
2025-05-04,S024,41
2025-05-04,S025,39
2025-05-04,S026,42
2025-05-04,S027,46
2025-05-04,S028,37
2025-05-04,S029,49
2025-05-04,S030,36
2025-05-04,S031,44
2025-05-04,S032,34
2025-05-04,S033,38
2025-05-04,S034,40
2025-05-04,S035,43
2025-05-04,S036,25
2025-05-04,S037,25
2025-05-04,S038,30
2025-05-04,S039,31
2025-05-04,S040,20
2025-05-04,S041,24
2025-05-04,S042,20
2025-05-04,S043,23
2025-05-04,S044,22
2025-05-04,S045,30
2025-05-04,S046,28
2025-05-04,S047,25
2025-05-04,S048,26
2025-05-04,S049,24
2025-05-04,S050,27
