store_id,avg_weekly_sales_12mo,store_size_sqft,median_income,location_tier,fashion_tier,store_format,region,foot_traffic,competitor_density,online_penetration,population_density,mall_location
VC_000,299.8685661204493,6061.978796339918,59966.46210492592,C,Value,Outlet,Midwest,303,6.4,0.39,5,True
VC_001,274.4694279531526,5060.414634987569,47499.37289545007,C,Value,Outlet,Midwest,253,2.4,0.23,4,True
VC_002,291.1616516880055,5978.254022286159,45514.61235739506,C,Value,Outlet,Southeast,298,1.9,0.25,4,False
VC_003,320.42061139226104,6026.995702933887,68463.81772539375,C,Value,Outlet,Southeast,301,3.9,0.47,6,True
VC_004,261.4632922875016,4564.847850358382,58118.910790805945,C,Value,Outlet,Southeast,228,6.9,0.38,5,True
VC_005,261.3708098571897,3580.718487644955,58119.36650645973,C,Value,Outlet,Midwest,179,2.5,0.2,5,False
VC_006,262.8781574329506,4782.266451527921,56401.749605425895,C,Value,Outlet,Midwest,239,5.0,0.23,5,False
VC_007,250.3037265152331,5664.351032665805,54561.54978167907,C,Value,Outlet,Southeast,283,5.6,0.4,5,False
VC_008,258.2246910189927,5626.4069816550345,49263.10309218229,C,Value,Outlet,Midwest,281,2.4,0.2,4,False
VC_009,284.43690358839467,3546.427364059533,68555.04389212132,C,Value,Outlet,Southeast,177,5.4,0.25,6,True
VC_010,255.98984599576352,3841.852399022344,62105.82566280392,C,Value,Outlet,Midwest,192,3.2,0.36,6,False
VC_011,317.8975928418656,5891.422315889104,60249.91644456552,C,Value,Outlet,Southeast,294,4.8,0.41,6,False
VC_012,312.90179648412754,4590.988766312938,58001.70052944527,C,Value,Outlet,Southeast,229,4.8,0.4,5,True
VC_013,231.1662540011591,5486.95114736997,45782.83231138896,C,Value,Outlet,Southeast,274,4.2,0.27,4,False
VC_014,288.7455326421545,6726.559822580909,47212.31255129799,C,Value,Outlet,Midwest,336,1.5,0.41,4,False
MS_000,664.0880519474306,10083.337040103295,108641.02085222724,B,Mainstream,ShoppingCenter,Northeast,504,6.0,0.27,10,False
MS_001,658.685020841684,9427.013306774355,84832.70783905833,C,Mainstream,Standalone,Northeast,471,2.9,0.3,8,False
MS_002,593.092916916852,9185.094022816327,80784.3428672051,B,Mainstream,Standalone,Northeast,459,2.1,0.42,8,False
MS_003,586.1538999847021,8022.088468494409,103541.1499959192,B,Mainstream,ShoppingCenter,Midwest,401,1.2,0.39,10,True
MS_004,650.5838144420434,11160.702162124822,96208.5991173354,C,Mainstream,Standalone,Southeast,558,4.5,0.45,9,True
MS_005,544.5923355226258,8254.233401144094,85884.38126004818,C,Mainstream,Standalone,Midwest,412,5.1,0.4,8,False
MS_006,674.982348789241,10365.19115083091,84615.26275465224,B,Mainstream,Standalone,Midwest,518,1.1,0.37,8,False
MS_007,638.0818012523818,11043.140194467587,94644.70191493238,B,Mainstream,ShoppingCenter,Midwest,552,4.1,0.23,9,False
MS_008,587.7440122697437,8161.734358153725,99873.20113900256,C,Mainstream,ShoppingCenter,West,408,2.4,0.31,9,False
MS_009,549.0624770704298,10034.282764658812,106764.82658741326,B,Mainstream,Standalone,Northeast,501,4.9,0.28,10,False
